,F
2362,1
2363,1
2364,2
2365,1
2366,1
2367,5
2368,1
2369,2
2370,1
2371,1
2372,3
2373,1
2374,2
2375,1
2376,1
2377,1
2378,1
2379,1
2380,4
2381,2
2382,1
2383,1
2384,4
2385,1
2386,1
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,1
2394,1
2395,2
2396,1
2397,1
2398,1
2399,4
2400,2
2401,1
2402,3
2403,1
2404,2
2405,1
2406,2
2407,1
2408,1
2409,1
2410,1
2411,2
2412,1
2413,1
2414,1
2415,1
2416,1
2417,3
2418,1
2419,1
2420,6
2421,2
2422,1
2423,3
2424,1
2425,2
2426,1
2427,1
2428,1
2429,2
2430,2
2431,1
2432,1
2433,1
2434,1
2435,2
2436,1
2437,1
2438,1
2439,1
2440,1
2441,2
2442,1
2443,2
2444,2
2445,1
2446,1
2447,1
2448,1
2449,1
2450,1
2451,2
2452,2
2453,1
2454,1
2455,1
2456,1
2457,1
2458,1
2459,3
2460,1
2461,1
2462,1
2463,1
2464,1
2465,2
2466,2
2467,1
2468,3
2469,1
2470,1
2471,1
2472,1
2473,1
2474,2
2475,1
2476,1
2477,4
2478,1
2479,1
2480,1
2481,1
2482,1
2483,3
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
2491,1
2492,1
2493,1
2494,1
2495,1
2496,1
2497,1
2498,1
2499,1
2500,1
2501,6
2502,1
2503,2
2504,2
2505,1
2506,1
2507,1
2508,1
2509,4
2510,2
2511,1
2512,2
2513,1
2514,1
2515,1
2516,1
2517,1
2518,1
2519,4
2520,1
2521,1
2522,2
2523,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,1
2534,1
2535,1
2536,1
2537,3
2538,1
2539,1
2540,1
2541,2
2542,1
2543,1
2544,1
2545,1
2546,1
2547,1
2548,2
2549,1
2550,2
2551,4
2552,2
2553,1
2554,4
2555,1
2556,1
2557,1
2558,1
2559,1
2560,1
2561,2
2562,1
2563,2
2564,1
2565,1
2566,1
2567,1
2568,1
2569,1
2570,3
2571,1
2572,1
2573,1
2574,1
2575,1
2576,1
2577,2
2578,1
2579,1
2580,4
2581,1
2582,1
2583,1
2584,1
2585,1
2586,1
2587,1
2588,1
2589,1
2590,2
2591,1
2592,1
2593,3
2594,1
2595,2
2596,2
2597,1
2598,4
2599,1
2600,1
2601,1
2602,1
2603,1
2604,1
2605,1
2606,1
2607,1
2608,2
2609,1
2610,1
2611,1
2612,3
2613,1
2614,1
2615,4
2616,2
2617,1
2618,1
2619,2
2620,1
2621,1
2622,1
2623,2
2624,1
2625,1
2626,1
2627,2
2628,1
2629,1
2630,1
2631,1
2632,1
2633,1
2634,1
2635,2
2636,1
2637,1
2638,1
2639,1
2640,1
2641,1
2642,1
2643,1
2644,1
2645,1
2646,3
2647,1
2648,2
2649,3
2650,1
2651,1
2652,1
2653,2
2654,1
2655,1
2656,1
2657,2
2658,2
2659,1
2660,1
2661,1
2662,1
2663,1
2664,2
2665,2
2666,1
2667,1
2668,1
2669,1
2670,3
2671,1
2672,1
2673,2
2674,1
2675,1
2676,1
2677,1
2678,1
2679,1
2680,1
2681,2
2682,2
2683,1
2684,3
2685,1
2686,1
2687,1
2688,2
2689,2
