,SPEED,DATE,DISTANCE,AMOUNT,TIMESLICE,TIME,ID,UUID
26,72.91,20210620,9792.43,34,1,483.48,12207,C56CB05D2AA22C6FE05307098F0AE1DA
27,76.27,20210620,45288.52,132,1,2137.53,12208,C56CB05DA6062C6FE05307098F0AE1DA
28,64.95,20210620,74276.68,263,1,4116.87,12209,C56CB05DA0A72C6FE05307098F0AE1DA
29,67.61,20210620,26588.24,114,1,1415.69,12210,C56CB05D67AF2C6FE05307098F0AE1DA
30,64.26,20210620,75844.98,239,1,4248.96,12211,C56CB05DA09F2C6FE05307098F0AE1DA
31,58.82,20210620,44860.32,165,1,2745.79,12212,C56CB05D8CE32C6FE05307098F0AE1DA
32,61.67,20210620,83967.87,239,1,4901.65,13301,C56CB05D8D132C6FE05307098F0AE1DA
33,70.77,20210620,34373.01,113,1,1748.63,13302,C56CB05DA0A12C6FE05307098F0AE1DA
34,67.72,20210620,45944.91,122,1,2442.3,13303,C56CB05D67A32C6FE05307098F0AE1DA
35,62.72,20210620,22752.03,50,1,1305.9,13304,C56CB05D4F5C2C6FE05307098F0AE1DA
36,75.53,20210620,31217.9,76,1,1487.87,13305,C56CB05D74862C6FE05307098F0AE1DA
37,70.04,20210620,20900.73,49,1,1074.33,13401,C56CB05D42AE2C6FE05307098F0AE1DA
38,59.92,20210620,7274.61,17,1,437.03,13402,C56CB05D8CF02C6FE05307098F0AE1DA
39,73.42,20210620,11932.86,35,1,585.14,13403,C56CB05DA5B62C6FE05307098F0AE1DA
40,62.02,20210620,8743.48,44,1,507.54,13404,C56CB05D5BDF2C6FE05307098F0AE1DA
41,64.02,20210620,40929.27,115,1,2301.44,13405,C56CB05D116C2C6FE05307098F0AE1DA
42,76.64,20210620,75153.68,200,1,3530.21,14101,C56CB05D4FAA2C6FE05307098F0AE1DA
43,76.23,20210620,67830.12,193,1,3203.14,14102,C56CB05D5B782C6FE05307098F0AE1DA
44,76.87,20210620,82463.91,188,1,3862.11,14103,C56CB05CE90B2C6FE05307098F0AE1DA
45,75.45,20210620,28445.97,111,1,1357.19,14104,C56CB05CE94E2C6FE05307098F0AE1DA
46,75.08,20210620,20400.51,58,1,978.16,14105,C56CB05D80842C6FE05307098F0AE1DA
47,64.48,20210620,14355.06,57,1,801.4,14106,C56CB05DA5DE2C6FE05307098F0AE1DA
48,50.31,20210620,7038.74,21,1,503.65,14107,C56CB05D5B5B2C6FE05307098F0AE1DA
49,25.84,20210620,5828.91,75,1,812.12,14108,C56CB05D8D242C6FE05307098F0AE1DA
50,49.99,20210620,10066.94,69,1,724.95,14201,C56CB05D2AB92C6FE05307098F0AE1DA
