,F,T,S,E
9738,1,1,727,727
9739,1,1,728,1257
9740,1,1,735,735
9741,3,2,742,606_742
9742,1,1,744,744
9743,2,2,757,757
9744,1,1,763,763
9745,1,1,764,764
9746,2,1,772,772
9747,1,1,802,
9748,1,1,809,810_809
9749,17,7,816,818_817_816_815_815_818_818_817
9750,1,1,832,832
9751,2,2,834,833_834
9752,2,2,835,835
9753,1,1,839,839
9754,2,2,848,849_848
9755,1,1,856,856
9756,2,1,898,900_898
9757,3,2,920,1331_1332_920
9758,1,1,934,934
9759,1,1,942,943_942
9760,2,2,951,951
9761,1,1,953,953
9762,1,1,958,958
9763,23,10,962,908_961_961_908_961_834_908_1386_908_908_962_961
9764,1,1,969,969
9765,1,1,976,976
9766,1,1,978,979_978
9767,4,3,992,1024_1024_1024_991_992
9768,1,1,1014,1033_1014
