,F,T,S,E
1061,2,1,792,841_792
1062,1,1,827,986_827
1063,1,1,830,830
1064,1,1,840,840
1065,1,1,876,876
1066,1,1,893,893
1067,1,1,896,897_896
1068,2,2,907,
1069,2,1,911,912_911
1070,2,2,920,920
1071,1,1,927,927
1072,1,1,929,929
1073,1,1,935,935
1074,1,1,936,936
1075,4,3,939,939
1076,1,1,943,943
1077,2,2,972,973_973_972
1078,1,1,979,979
1079,1,1,1011,1011
1080,1,1,1038,1038
1081,5,5,1064,
1082,1,1,1066,1066
1083,4,2,1078,1079_1077_1078
1084,6,4,1099,1120_1120_1120_1100_1100_1099
1085,1,1,1100,1100
1086,1,1,1104,1115_1104
1087,4,4,1105,1105
1088,1,1,1118,1118
1089,1,1,1124,1124
1090,1,1,1132,1132
1091,1,1,1199,
1092,1,1,1217,1217
1093,2,1,1230,1230
1094,2,2,1270,1249_1270
1095,1,1,1275,1275
1096,2,1,1380,1380
1097,1,1,1389,1389
1098,2,2,15,15
1099,1,1,163,163
1100,1,1,288,289_288
1101,1,1,305,306_305
1102,9,4,309,308_311_310_310_43_309
1103,3,3,367,367
1104,1,1,418,419_418
1105,8,5,496,1256_1256_1256_1256_494_495_495_1256_496
1106,1,1,515,589_515
1107,5,3,530,531_530
1108,1,1,535,535
1109,1,1,593,593
1110,1,1,596,596
1111,1,1,603,603
1112,1,1,627,628_627
1113,2,1,635,636_635
1114,2,2,638,
1115,2,1,651,652_651
1116,1,1,656,656
1117,1,1,660,660
