,S,N
1258,41,14
1259,40,7
1260,39,4
1261,38,9
1262,37,22
1263,36,1
1264,35,13
1265,34,7
1266,33,1
1267,31,2
1268,29,5
1269,28,11
1270,27,25
1271,26,1
1272,25,24
1273,24,3
1274,21,17
1275,20,13
1276,19,2
1277,18,3
1278,17,5
1279,15,12
1280,14,5
1281,13,23
1282,12,3
1283,11,18
1284,9,38
1285,8,21
1286,7,9
1287,6,5
1288,5,1
1289,4,4
1290,3,12
1291,2,22
1292,1,2
