,E,N
560,856_855,4
561,856,15
562,855_856,1
563,855_855_860_854,1
564,855_855,1
565,855_854_854_856_854,1
566,855_854_853,1
567,855_854,2
568,854_870_870_859_870_860_855_860_856_856_856_855_854_853,1
569,854_853,3
570,854,2
571,853_855_856_855_854_860_854_870_870_870_858_853_853_858_859_858_858_1266_1266_875_1266_870,1
572,853_854,1
573,853,11
574,852_916,1
575,852_852_916_794_845_845_1264_1264_794_916_795,1
576,852_852_916,1
577,852,11
578,851_796_851_796_851_773,1
579,851_796_791_791_772_848_848_849_849_849_849_789_790_847_790_791_851_771_851_773,1
580,851_796_772_773,1
581,851_795_794,1
582,851_794,2
583,851_773,4
584,851_772_851_771,1
585,851_771,1
586,851,1
587,850_849,1
588,850,13
589,85,2
590,84_83,1
591,849_849_851_794_794_851_851_849_791_849_849_851_851_851_851_794_851_772_851_772_851_791_851_851_791_851_773_772_796_773_772_773_851_772_791_790_790_791_851_772_851_791_851_773_772_772_771_851_848_790,1
592,849_849_848_843,1
593,849_848_843,2
594,849_848,6
595,849_791_851_790_849_849_849_791_851_851_772_851_773_773_772_851_791_791_851_772_791_791_795_851_851_794_794_851_851_791_791_849_849_849_849_849_849_849_848_848_849_771,1
596,849_791,1
597,849_790,1
598,849,11
599,848_849_849_791,1
600,848_847_790,1
601,848_847,4
602,848_844_848_964_844_848_964_964_1264_844_1263_1263_844_1263_795_916_851_794_794_916_1264_795_1264_1264_1263_1263_964_964_844_844_1263_844_964_964_843_844_843_1263_845_1263_844_964_964_844_916_916_795_1264_795_795_795_1264_964_964_844_1263_964_1263_964_843,1
603,848_844_845_964_964_844_843,1
604,848_843,5
605,848,12
